Индекс;Тип региона;Регион;Город;Часовой пояс;Широта;Долгота;Население
623280;обл;Свердловская;Ревда;UTC+5;56.79869;59.9071464;61713
601650;обл;Владимирская;Александров;UTC+3;56.3919652;38.711035;61544
141800;обл;Московская;Дмитров;UTC+3;56.3477176;37.5267184;61454
453853;Респ;Башкортостан;Мелеуз;UTC+5;52.9590637;55.9283483;61408
347630;обл;Ростовская;Сальск;UTC+3;46.4751689;41.5412229;61312
662541;край;Красноярский;Лесосибирск;UTC+7;58.2218201;92.5036986;61146
601500;обл;Владимирская;Гусь-Хрустальный;UTC+3;55.6198065;40.6578769;60773
422951;Респ;Татарстан;Чистополь;UTC+3;55.3699372;50.628495;60703
606100;обл;Нижегородская;Павлово;UTC+3;55.9797995;43.0996232;60699
142300;обл;Московская;Чехов;UTC+3;55.1507175;37.4532591;60677
165300;обл;Архангельская;Котлас;UTC+3;61.2529842;46.6331915;60562
452000;Респ;Башкортостан;Белебей;UTC+5;54.1033832;54.1111878;60183
;обл;Новосибирская;Искитим;UTC+7;54.6266869;83.2951444;60072
624440;обл;Свердловская;Краснотурьинск;UTC+5;59.7636934;60.1934451;59701
184200;обл;Мурманская;Апатиты;UTC+3;67.5678295;33.4067218;59690
188640;обл;Ленинградская;Всеволожск;UTC+3;60.0190094;30.6455834;59689
361040;Респ;Кабардино-Балкарская;Прохладный;UTC+3;43.7589521;44.0101936;59595
403340;обл;Волгоградская;Михайловка;UTC+3;50.0708749;43.2400847;59153
353440;край;Краснодарский;Анапа;UTC+3;44.8950777;37.3163142;58983
187550;обл;Ленинградская;Тихвин;UTC+3;59.6273809;33.5072307;58843
624090;обл;Свердловская;Верхняя Пышма;UTC+5;56.9757833;60.564885;58707
676450;обл;Амурская;Свободный;UTC+9;51.361264;128.1218995;58594
141280;обл;Московская;Ивантеевка;UTC+3;55.9742303;37.9208755;58594
155900;обл;Ивановская;Шуя;UTC+3;56.8560743;41.3802455;58528
628481;АО;Ханты-Мансийский Автономный округ - Югра;Когалым;UTC+5;62.2638914;74.4828687;58192
301240;обл;Тульская;Щекино;UTC+3;54.0020749;37.517686;58154
445350;обл;Самарская;Жигулевск;UTC+4;53.4011545;49.494529;57565
353380;край;Краснодарский;Крымск;UTC+3;44.9344108;37.9855314;57370
215110;обл;Смоленская;Вязьма;UTC+3;55.2115563;34.2951196;57103
142700;обл;Московская;Видное;UTC+3;55.5518323;37.7062062;56798
692330;край;Приморский;Арсеньев;UTC+10;44.16208;133.269622;56742
368500;Респ;Дагестан;Избербаш;UTC+3;42.565098;47.871002;56301
607060;обл;Нижегородская;Выкса;UTC+3;55.3207103;42.1679169;56196
397900;обл;Воронежская;Лиски;UTC+3;50.9944734;39.518302;55864
425000;Респ;Марий Эл;Волжск;UTC+3;55.8622987;48.371553;55671
674670;край;Забайкальский;Краснокаменск;UTC+9;50.092858;118.0323407;55668
141190;обл;Московская;Фрязино;UTC+3;55.9590154;38.0409171;55449
301600;обл;Тульская;Узловая;UTC+3;53.9731407;38.1763104;55282
140080;обл;Московская;Лыткарино;UTC+3;55.5778065;37.9034952;55147
628180;АО;Ханты-Мансийский Автономный округ - Югра;Нягань;UTC+5;62.1454839;65.3944361;54903
216500;обл;Смоленская;Рославль;UTC+3;53.9449601;32.8479617;54898
353460;край;Краснодарский;Геленджик;UTC+3;44.5631053;38.0790184;54813
174400;обл;Новгородская;Боровичи;UTC+3;58.3839866;33.9176761;54731
352700;край;Краснодарский;Тимашевск;UTC+3;45.6159358;38.9350513;53921
352630;край;Краснодарский;Белореченск;UTC+3;44.7652733;39.8780457;53891
141501;обл;Московская;Солнечногорск;UTC+3;56.2148655;37.0967653;52996
662200;край;Красноярский;Назарово;UTC+7;56.0113176;90.4167947;52829
187110;обл;Ленинградская;Кириши;UTC+3;59.4742626;32.0625536;52826
665400;обл;Иркутская;Черемхово;UTC+8;53.1369385;103.090119;52650
617060;край;Пермский;Краснокамск;UTC+5;58.0820946;55.7479797;52632
624200;обл;Свердловская;Лесной;UTC+5;58.634981;59.7980528;52464
171150;обл;Тверская;Вышний Волочек;UTC+3;57.5683326;34.5402931;52326
461630;обл;Оренбургская;Бугуруслан;UTC+5;53.6522636;52.4326166;52249
623700;обл;Свердловская;Березовский;UTC+5;56.9096284;60.8180256;51583
606407;обл;Нижегородская;Балахна;UTC+3;56.4949932;43.5758953;51526
303850;обл;Орловская;Ливны;UTC+3;52.4285122;37.603944;50430
346330;обл;Ростовская;Донецк;UTC+3;48.3350928;39.9460654;50085
184601;обл;Мурманская;Североморск;UTC+3;69.0765029;33.4178354;50076
655602;Респ;Хакасия;Саяногорск;UTC+7;53.1008226;91.4121643;49889
171500;обл;Тверская;Кимры;UTC+3;56.873359;37.3557064;49623
628680;АО;Ханты-Мансийский Автономный округ - Югра;Мегион;UTC+5;61.0318946;76.1024772;49471
368830;Респ;Дагестан;Кизляр;UTC+3;43.8483915;46.7232828;49169
366500;Респ;Чеченская;Чечня;UTC+3;43.1276072;45.5406838;49071
456770;обл;Челябинская;Снежинск;UTC+5;56.085232;60.7324989;48896
188456;обл;Ленинградская;Кингисепп;UTC+3;59.3739407;28.6112981;48667
352430;край;Краснодарский;Курганинск;UTC+3;44.8876442;40.5913858;47974
666031;обл;Иркутская;Шелехов;UTC+8;52.2102462;104.0973531;47960
427770;Респ;Удмуртская;Можга;UTC+4;56.4427219;52.2138882;47959
188650;обл;Ленинградская;Сертолово;UTC+3;60.14458;30.2094595;47854
215800;обл;Смоленская;Ярцево;UTC+3;55.0564933;32.6902457;47853
366300;Респ;Чеченская;Шали;UTC+3;43.148776;45.9009577;47715
446300;обл;Самарская;Отрадный;UTC+4;53.3800609;51.3438695;47709
172000;обл;Тверская;Торжок;UTC+3;57.0412804;34.9600691;47702
431440;Респ;Мордовия;Рузаевка;UTC+3;54.0583238;44.949116;47529
187401;обл;Ленинградская;Волхов;UTC+3;59.9006057;32.35212;47344
652420;обл;Кемеровская;Березовский;UTC+7;55.6692853;86.2744636;47292
632380;обл;Новосибирская;Куйбышев;UTC+7;55.4684104;78.3241042;47278
140090;обл;Московская;Дзержинский;UTC+3;55.6241079;37.8440691;47125
659100;край;Алтайский;Заринск;UTC+7;53.7063495;84.9314703;47035
399050;обл;Липецкая;Грязи;UTC+3;52.4873931;39.9331785;46798
618200;край;Пермский;Чусовой;UTC+5;58.2974725;57.8193122;46740
629733;АО;Ямало-Ненецкий;Надым;UTC+5;65.5377514;72.5182746;46550
624760;обл;Свердловская;Верхняя Салда;UTC+5;58.0466039;60.5560397;46240
